"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2001051737461858776","Tons of good teams migrating to pumpfun this week and next don’t miss them 🫡","en","Retweet","RainsRevenge♦️","RainsRevenge","9107","39","18","2","104","3","2025-12-17 06:08:06","https://x.com/RainsRevenge/status/2001051737461858776","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2001063162196713901","@OGshoots 💊🔄","qme","Reply","Migrate.Fun (MIGRATING NOW)","MigrateFun","345","0","0","0","9","0","2025-12-17 06:53:30","https://x.com/MigrateFun/status/2001063162196713901","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2001046127525679208","Migrate your liquidity, unlock creator fees 🔓","en","Tweet","Migrate.Fun (MIGRATING NOW)","MigrateFun","1131","3","2","0","14","0","2025-12-17 05:45:49","https://x.com/MigrateFun/status/2001046127525679208","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2001045430923354568","The @PayAINetwork team recently completed a token migration, giving them full control over their LP and the ability to earn trading fees to help bootstrap the project.

After their last appearance on our stream, $PAYAI surged nearly 20x, but as @notorious_d_e_v revealed, the team didn’t earn any fees on the roughly $100M in trading volume.

The migration was carried out via @MigrateFun, another strong team we’ve featured on the show, with the token successfully migrated to Raydium.","en","Quoted","MCG","MCGlive","2109","1","4","1","24","0","2025-12-17 05:43:03","https://x.com/MCGlive/status/2001045430923354568","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2001044732068372480/vid/avc1/1920x1080/IdL5VEW-QU9pgbq0.mp4?tag=21"
"2001020837399552239","We're live with @EmblemVault to discuss our recently-completed @Pumpfun migration(via @MigrateFun) and the exciting road ahead for $PYRO. Join us!

https://t.co/Bzw1e6voZF","en","Retweet","Pyro","pyrodotbuzz","1002","3","5","0","12","0","2025-12-17 04:05:19","https://x.com/pyrodotbuzz/status/2001020837399552239","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://x.com/i/spaces/1BRJjgXZOELxw","",""
"2001026524909330723","@navi9000x @RainsRevenge bullish 🔄","en","Reply","Migrate.Fun (MIGRATING NOW)","MigrateFun","176","0","0","0","5","0","2025-12-17 04:27:55","https://x.com/MigrateFun/status/2001026524909330723","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2001026081973735785","@Agok_AI 🔄","qme","Reply","Migrate.Fun (MIGRATING NOW)","MigrateFun","136","0","0","0","0","0","2025-12-17 04:26:09","https://x.com/MigrateFun/status/2001026081973735785","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2001025500328943820","How to migrate old Agok?

New CA:

HC1sJQuYAdsjrPeKXeNkJGP9yPpdjpNtngUGhuKMpump https://t.co/zDo1Sbq5em","in","Retweet","Agok","Agok_AI","872","2","3","0","9","0","2025-12-17 04:23:51","https://x.com/Agok_AI/status/2001025500328943820","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2001024077662720000/vid/avc1/2826x1540/2yf7dGdqv12cVRK0.mp4?tag=21"
"2001013570449142075","@AgentNyla 🔄","qme","Reply","Migrate.Fun (MIGRATING NOW)","MigrateFun","234","0","1","0","6","0","2025-12-17 03:36:26","https://x.com/MigrateFun/status/2001013570449142075","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2001013030633787521","The new NYLA is now LIVE on @Pumpfun! 🎉

PF Contact Address: 7NgzCgQ8vrosdtxUonHvWETQ41mL9XQ5Z2JqJjhQpump

🔄 Trading and claims for migrated tokens are available now (Details Below). 

Welcome to a new era of Nyla 🟢⚪️ https://t.co/q5wxXqaEbJ","en","Retweet","NYLA","AgentNyla","16011","44","53","18","120","10","2025-12-17 03:34:18","https://x.com/AgentNyla/status/2001013030633787521","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2001011432490504196/vid/avc1/1920x1088/raH11m5anHYtBCEY.mp4?tag=21"
